peak_budget,workload_budget,reward,p_hard,queries
19.0,6.0,0.7311894569396973,0.31,19.0
19.0,7.0,0.7442845306396484,0.36,19.0
19.0,8.0,0.7599986190795899,0.42,19.0
19.0,9.0,0.7730936927795411,0.47,19.0
19.0,10.0,0.7861887664794922,0.52,19.0
19.0,11.0,0.7992838401794433,0.57,19.0
19.0,12.0,0.8149979286193847,0.63,19.0
19.0,13.0,0.8280930023193359,0.68,19.0
19.0,14.0,0.8411880760192871,0.73,19.0
19.0,15.0,0.8542831497192384,0.78,19.0
19.0,16.0,0.8699972381591796,0.84,19.0
19.0,17.0,0.8830923118591308,0.89,19.0
19.0,18.0,0.8961873855590821,0.94,19.0
19.0,19.0,0.9119014739990234,1.0,19.0
19.0,20.0,0.9119014739990234,1.0,19.0
19.0,21.0,0.9119014739990234,1.0,19.0
20.0,0.0,0.65,0.0,0.0
20.0,1.0,0.6630950736999511,0.05,19.0
20.0,2.0,0.6761901473999025,0.1,19.0
20.0,3.0,0.6892852210998535,0.15,19.0
20.0,4.0,0.704999309539795,0.21,19.0
20.0,5.0,0.7180943832397461,0.26,19.0
20.0,6.0,0.7311894569396973,0.31,19.0
20.0,7.0,0.7442845306396484,0.36,19.0
20.0,8.0,0.7599986190795899,0.42,19.0
20.0,9.0,0.7730936927795411,0.47,19.0
20.0,10.0,0.7861887664794922,0.52,19.0
20.0,11.0,0.7992838401794433,0.57,19.0
20.0,12.0,0.8149979286193847,0.63,19.0
20.0,13.0,0.8280930023193359,0.68,19.0
20.0,14.0,0.8411880760192871,0.73,19.0
20.0,15.0,0.8542831497192384,0.78,19.0
20.0,16.0,0.8699972381591796,0.84,19.0
20.0,17.0,0.8830923118591308,0.89,19.0
20.0,18.0,0.8961873855590821,0.94,19.0
20.0,19.0,0.9119014739990234,1.0,19.0
20.0,20.0,0.9119014739990234,1.0,19.0
20.0,21.0,0.9119014739990234,1.0,19.0
21.0,0.0,0.65,0.0,0.0
21.0,1.0,0.664,0.04,21.0
21.0,2.0,0.6815,0.09,21.0
21.0,3.0,0.6990000000000001,0.14,21.0
21.0,4.0,0.7165000000000001,0.19,21.0
21.0,5.0,0.7305,0.23,21.0
21.0,6.0,0.748,0.28,21.0
21.0,7.0,0.7655,0.33,21.0
21.0,8.0,0.783,0.38,21.0
21.0,9.0,0.797,0.42,21.0
21.0,10.0,0.8145,0.47,21.0
21.0,11.0,0.8320000000000001,0.52,21.0
21.0,12.0,0.8494999999999999,0.57,21.0
21.0,13.0,0.8634999999999999,0.61,21.0
21.0,14.0,0.881,0.66,21.0
21.0,15.0,0.8985,0.71,21.0
21.0,16.0,0.916,0.76,21.0
21.0,17.0,0.93,0.8,21.0
21.0,18.0,0.9475,0.85,21.0
21.0,19.0,0.965,0.9,21.0
21.0,20.0,0.9824999999999999,0.95,21.0
21.0,21.0,1.0,1.0,21.0
