theta,budget,reward,queries
1.0,7.300000000000001,0.7040176391601562,7.0
1.0,7.4,0.7040176391601562,7.0
1.0,7.5,0.7040176391601562,7.0
1.0,7.6000000000000005,0.7040176391601562,7.0
1.0,7.7,0.7040176391601562,7.0
1.0,7.800000000000001,0.7040176391601562,7.0
1.0,7.9,0.7040176391601562,7.0
1.0,8.0,0.7040176391601562,7.0
1.0,8.1,0.7040176391601562,7.0
1.0,8.200000000000001,0.7040176391601562,7.0
1.0,8.3,0.7040176391601562,7.0
1.0,8.4,0.7040176391601562,7.0
1.0,8.5,0.7040176391601562,7.0
1.0,8.6,0.7040176391601562,7.0
1.0,8.700000000000001,0.7040176391601562,7.0
1.0,8.8,0.7040176391601562,7.0
1.0,8.9,0.7040176391601562,7.0
1.0,9.0,0.7348594665527344,9.0
1.0,9.1,0.7348594665527344,9.0
1.0,9.200000000000001,0.7348594665527344,9.0
1.0,9.3,0.7348594665527344,9.0
1.0,9.4,0.7348594665527344,9.0
1.0,9.5,0.7348594665527344,9.0
1.0,9.600000000000001,0.7348594665527344,9.0
1.0,9.700000000000001,0.7348594665527344,9.0
1.0,9.8,0.7348594665527344,9.0
1.0,9.9,0.7348594665527344,9.0
1.0,10.0,0.7348594665527344,9.0
1.0,10.100000000000001,0.7348594665527344,9.0
1.0,10.200000000000001,0.7348594665527344,9.0
1.0,10.3,0.7348594665527344,9.0
1.0,10.4,0.7348594665527344,9.0
1.0,10.5,0.7348594665527344,9.0
1.0,10.600000000000001,0.7348594665527344,9.0
1.0,10.700000000000001,0.7348594665527344,9.0
1.0,10.8,0.7348594665527344,9.0
1.0,10.9,0.7348594665527344,9.0
1.0,11.0,0.7651405334472656,11.0
1.0,11.100000000000001,0.7651405334472656,11.0
1.0,11.200000000000001,0.7651405334472656,11.0
1.0,11.3,0.7651405334472656,11.0
1.0,11.4,0.7651405334472656,11.0
1.0,11.5,0.7651405334472656,11.0
1.0,11.600000000000001,0.7651405334472656,11.0
1.0,11.700000000000001,0.7651405334472656,11.0
1.0,11.8,0.7651405334472656,11.0
1.0,11.9,0.7651405334472656,11.0
1.0,12.0,0.7651405334472656,11.0
1.0,12.100000000000001,0.7651405334472656,11.0
1.0,12.200000000000001,0.7651405334472656,11.0
1.0,12.3,0.7651405334472656,11.0
1.0,12.4,0.7651405334472656,11.0
1.0,12.5,0.7651405334472656,11.0
1.0,12.600000000000001,0.7651405334472656,11.0
1.0,12.700000000000001,0.7651405334472656,11.0
1.0,12.8,0.7651405334472656,11.0
1.0,12.9,0.7651405334472656,11.0
1.0,13.0,0.7959823608398438,13.0
1.0,13.100000000000001,0.7959823608398438,13.0
1.0,13.200000000000001,0.7959823608398438,13.0
1.0,13.3,0.7959823608398438,13.0
1.0,13.4,0.7959823608398438,13.0
1.0,13.5,0.7959823608398438,13.0
1.0,13.600000000000001,0.7959823608398438,13.0
1.0,13.700000000000001,0.7959823608398438,13.0
1.0,13.8,0.7959823608398438,13.0
1.0,13.9,0.7959823608398438,13.0
1.0,14.0,0.7959823608398438,13.0
1.0,14.100000000000001,0.7959823608398438,13.0
1.0,14.200000000000001,0.7959823608398438,13.0
1.0,14.3,0.7959823608398438,13.0
1.0,14.4,0.7959823608398438,13.0
1.0,14.5,0.7959823608398438,13.0
1.0,14.600000000000001,0.7959823608398438,13.0
1.0,14.700000000000001,0.7959823608398438,13.0
1.0,14.8,0.7959823608398438,13.0
1.0,14.9,0.7959823608398438,13.0
1.0,15.0,0.8287124633789062,15.0
1.0,15.100000000000001,0.8287124633789062,15.0
1.0,15.200000000000001,0.8287124633789062,15.0
1.0,15.3,0.8287124633789062,15.0
1.0,15.4,0.8287124633789062,15.0
1.0,15.5,0.8287124633789062,15.0
1.0,15.600000000000001,0.8287124633789062,15.0
1.0,15.700000000000001,0.8287124633789062,15.0
1.0,15.8,0.8287124633789062,15.0
1.0,15.9,0.8287124633789062,15.0
1.0,16.0,0.8287124633789062,15.0
1.0,16.1,0.8287124633789062,15.0
1.0,16.2,0.8287124633789062,15.0
1.0,16.3,0.8287124633789062,15.0
1.0,16.400000000000002,0.8287124633789062,15.0
1.0,16.5,0.8287124633789062,15.0
1.0,16.6,0.8287124633789062,15.0
1.0,16.7,0.8287124633789062,15.0
1.0,16.8,0.8287124633789062,15.0
1.0,16.900000000000002,0.8287124633789062,15.0
1.0,17.0,0.8655338287353516,17.0
1.0,17.1,0.8655338287353516,17.0
1.0,17.2,0.8655338287353516,17.0
1.0,17.3,0.8655338287353516,17.0
1.0,17.400000000000002,0.8655338287353516,17.0
1.0,17.5,0.8655338287353516,17.0
1.0,17.6,0.8655338287353516,17.0
1.0,17.7,0.8655338287353516,17.0
1.0,17.8,0.8655338287353516,17.0
1.0,17.900000000000002,0.8655338287353516,17.0
1.0,18.0,0.8655338287353516,17.0
1.0,18.1,0.8655338287353516,17.0
1.0,18.2,0.8655338287353516,17.0
1.0,18.3,0.8655338287353516,17.0
1.0,18.400000000000002,0.8655338287353516,17.0
1.0,18.5,0.8655338287353516,17.0
1.0,18.6,0.8655338287353516,17.0
1.0,18.7,0.8655338287353516,17.0
1.0,18.8,0.8655338287353516,17.0
